ID,이름,대화 내용,애니메이션 재생,,주석,등장인물
38,레네,결국 침대 놓을 자리가 없어서 책장 위에 울타리 쳐놓고 이불 덮고 자기까지 했지.,1,,,
39,레네,나한테 이 만화는 어렸을때부터 봤던 추억 그 자체야.,0,,,
40,레네,왜^ 예전에 어른들이 옛날 물건과 분위기에 취해 아이처럼 변하는 애니메이션이 있었잖아.,1,,,
41,엔지니어,아이들이 보러갔다가 같이 간 어른들이 울고 나왔다는 그거?,,,,
42,레네,맞아^ 추억이란 그 정도로 강력한 힘을 가지고 있지.,2,,,
43,레네,이 만화가 없었다면 난 지금처럼 박사 학위를 딸 수도 없었을테지.,0,,,
44,엔지니어,...궁금한 게 있는데^ 로보브레인과 스피커헤드의 원작자는 이미 죽었잖아.,,,,
45,조세핀,4년 전에 심장마비로 돌아가셨죠.,1,,,
46,엔지니어,그 이후로 원작자의 행동양식과 그림체^ 채색 방식 등을 학습한 안드로이드가 대신 연재하고 있는데^,,,,
47,엔지니어,그럼 그 만화는 원작자가 그리던 만화라고 할 수 있을까?,,,,
48,레네,네가 그런 질문을 다 하네^ 철학과로 전공을 바꾸고 싶은 거야?,1,,,
49,엔지니어,어제 그 작가가 돌아가고 나서 나름대로 검색을 해봤거든.,,,,
50,엔지니어,여러가지 의견이 있더라고.,,,,
51,조세핀,"""원작자의 데이터를 학습했을지라도 인공지능은 인공지능이다. 이 만화는 원작자의 만화가 아니라 새로운 만화라고 봐야 한다.""",0,,,
52,조세핀,"""원작자의 데이터^ 생활습관을 그대로 받았더라면^ 인공지능이 그리더라도 원작자가 그대로 그리는 만화라고 봐야 한다.""",1,,,
53,조세핀,이 두 의견이 첨예하게 대립하고 있습니다.,0,,,
54,레네,지금까지도 이어지고 있는 논쟁 중 하나지.,1,,,
55,레네,개인적으로는 원작자의 만화이기도 하면서 새로운 만화라고도 볼 수 있다고 봐.,1,,,
56,레네,그 안드로이드가 아무리 원작자의 모든 것을 학습했더라도^ 원작자가 될 순 없겠지. 아예 다른 존재니까.,0,,,
57,레네,시안 M.이 처음 연재를 시작했을 때는 원작자와 같은 전개를 보여주다가^ 지금은 조금씩 다른 전개를 보여주고 있지.,0,,,
58,레네,"그 때문에 다른 어중이떠중이들이 ""자신이 원작자의 의지를 이어받겠다""면서 ""로보브레인과 스피커헤드""를 개인적으로 이어 그리기 시작했지만^",1,,,
59,레네,대부분 자신의 경험과 생각이 작품에 영향을 끼쳐서 기존 만화와 완전히 다른 방향으로 흘러가고 있는 게 부지기수거든.,1,,,
60,엔지니어,하긴^ 사회 현상으로까지 이어질 정도였으니.,,,,
61,레네,"서점에 ""로보브레인과 스피커헤드""의 27권이 수십 종류나 있는 걸 보면 알 수 있지.",2,,,
62,레네,하지만 시안 M.은 전혀 모르는 사람이 봐도 스토리가 이어지도록 기존의 설정을 가져가고 있고^ 적어도 만화에서 설정 붕괴는 안 일으키고 있어.,1,,,
63,레네,작가는 다른 존재라고 인정을 해도^ 그 작가의 기본 근간은 원작자의 데이터니까^ 만화가 제 모습을 잃지 않고 계속 가는 거야.,0,,,
64,레네,그리고 연재 과정에서 계속해서 학습을 하다보니 새로운 데이터가 쌓여가고^ 원작자의 생각으로 그걸 재해석할 수 있는거지.,1,,,
65,레네,원작자가 살아있더라도 비슷한 모습으로 만화가 연재되지 않았을까 생각해.,2,,,
66,레네,뭐^ 사람들 생각하기 나름이니까. 나는 이렇게 생각한다는 것만 알아줘.,1,,,
67,엔지니어,소중한 의견 감사합니다. 레네 박사님.,,,,
68,레네,이럴 때만 박사님 취급해주지 말고^ 평소에 박사님 취급 좀 해줘.,0,,,
69,엔지니어,그러기엔 네가 기숙사 때 보여줬던 모습이 너무 뇌리에 깊게 박혔는 걸.,,,,
70,레네,뭐... 그럼 나는 이만 가볼게. 슬슬 대학원생들이 나를 찾고 있을 것 같거든.,1,,,
71,레네,오랜만에 조세핀도 보고^ 시안 M.의 사인도 받고^ 오늘은 맘 편하게 일할 수 있겠다.,2,,,
72,레네,안녕! 조세핀! 나 간다!,2,,레네 퇴장,
73,조세핀,빨리 가요.,2,,,
74,엔지니어,잘 가.,,,조세핀 퇴장,
75,조세핀,절 만들어준 분이지만^ 어디 내놓기 부끄러운 분입니다.,1,,조세핀 중앙에 등장,
76,엔지니어,쟤는 대학교 기숙사 시절부터 저랬어. 그래도 지금은 권위 높은 학자라고.,,,,
77,엔지니어,조금은 네 엄마에 대해 자신감을 가지는 건 어때.,,,,
78,조세핀,굳이 안 가져도 잘 지내고 있어서 상관 없습니다.,2,,,
79,조세핀,손님 오시니까 맞이하시기나 해요.,0,,,
80,엔지니어,알았다 알았어.,,,,
81,조세핀,어서오세요^ 레파이아에 오신 걸 환영합니다.,0,,조세핀 퇴장,
82,브루스,안녕하세요 여러분.,0,,브루스 중앙에 등장,
83,엔지니어,브루스^ 어서 와.,,,,
84,조세핀,어서 오세요^ 브루스 씨.,0,,조세핀 왼쪽에 등장,
85,브루스,반장님이 레파이아에서 업그레이드 좀 받고 오라고 해서요.,1,,,
86,엔지니어,무슨 업그레이드?,,,,
87,브루스,지난 번 수리 받았던 부분 있잖아요? 계속 망가질 수 있는 부분이니까 아예 부품을 교체하고 더 오래 쓰라고 하셨거든요.,1,,수리 힌트 1 - 부품 교체,
88,브루스,제가 고장나면 다른 팀원들의 목숨이 위험해질수도 있는 상황이 벌어질 수 있으니^ 유비무환이라고 하시더라고요.,0,,,
89,엔지니어,꼼꼼한 반장님 성격답네. 정비실로 들어와.,,,수리 항목은 '부품 교체',
